"Guest","ゲスト様"
"Personal Information","個人情報"
"Sign Up for Newsletter","ニュースレターを購読"
"Address Information","住所情報"
"Please select a region, state or province.","都道府県を選択してください"
"Address","住所"
"Street Address %1","番地 %1"
"* Required Fields","* 必須項目"
"Sign-in Information","サインイン情報"
"Email","Eメール"
"Password","パスワード"
"Password Strength","パスワードの強度"
"No Password","パスワード無し"
"Confirm Password","パスワード再確認"
"Create an Account","アカウント作成"
"Back","戻る"
"Contact Information","連絡先情報"
"City","市区町村"
"It's a default billing address.","標準の請求先"
"Use as my default billing address","標準ご連絡先住所として使用する"
"It's a default shipping address.","標準の配送先"
"Use as my default shipping address","標準配送先住所として使用する"
"Save Address","住所を保存"
"Go back","戻る"
"My billing and shipping address are the same","請求先住所と配送先住所は同じです"
"Update","更新"
"Cancel","キャンセル"
"Provided Zip/Postal Code seems to be invalid.","ご入力された郵便番号は正しくないようです。"
" Example: "," 正しい郵便番号の例: "
"If you believe it is the right one you can ignore this notice.","ご入力された内容が正しい場合は、このメッセージを無視してください。"
"Show Address on Customer Registration Form","会員登録フォームに住所を表示する"
"Show Country","国を表示"
